,gameid,url,league,split,date,week,game,patchno,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,k,d,a,teamkills,teamdeaths,doubles,triples,quadras,pentas,fb,fbassist,fbvictim,fbtime,kpm,okpm,ckpm,fd,fdtime,teamdragkills,oppdragkills,elementals,oppelementals,firedrakes,waterdrakes,earthdrakes,airdrakes,elders,oppelders,herald,heraldtime,ft,fttime,firstmidouter,firsttothreetowers,teamtowerkills,opptowerkills,fbaron,fbarontime,teambaronkills,oppbaronkills,dmgtochamps,dmgtochampsperminute,dmgshare,earnedgoldshare,wards,wpm,wardshare,wardkills,wcpm,visionwards,visionwardbuys,visiblewardclearrate,invisiblewardclearrate,totalgold,earnedgpm,goldspent,gspd,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,oppgoldat10,gdat10,goldat15,oppgoldat15,gdat15,xpat10,oppxpat10,xpdat10,csat10,oppcsat10,csdat10,csat15,oppcsat15,csdat15
3,2002860105,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860105?gameHash=4a9fcb220d39e584&tab=overview,WC,2018-W,43374.114826388904,PI,1,8.19,4,Blue,ADC,Sneaky,Cloud9,Kai'Sa,Vel'koz,Shen,Akali,Irelia,Braum,30.1833333333333,1,4,0,6,13,6,0,0,0,0,1,0,0,11.763633333333301,0.132523467697405,0.0331308669243512,0.629486471562673,0,10.689683333333301,1,2,0,0,0,0,0,0,0,0,1.0,,1,11.443183333333302,1,1,10,1,1.0,26.6730333333333,1,0,17262,571.90502484815,0.333050356936137,0.231802821538193,12,0.39757040309221403,0.127659574468085,10,0.331308669243512,3,4, , ,13546,317.25985643291,11150,-0.0265486725663717,288,8,4,0,9.806736609607949,3161,3151,10,5483,5082,401,3082,3402,-320,82,84,-2,138,146,-8
56,2002860113,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860113?gameHash=cf0de7df0947538c&tab=overview,WC,2018-W,43374.280462963,PI,1,8.19,9,Red,ADC,Sneaky,Cloud9,Kai'Sa,Heimerdinger,Camille,Akali,Skarner,Nocturne,43.5166666666667,1,6,1,4,18,14,1,0,0,0,0,0,0,5.9582,0.137878207583301,0.0919188050555343,0.7353504404442741,1,11.8015,3,2,2,0,1,0,0,1,0,0,0.0,,0,14.083416666666698,0,0,8,9,0.0,23.2678,1,2,31227,717.587131367292,0.325851490107688,0.262625517760763,10,0.229797012638836,0.072463768115942,9,0.20681731137495202,3,3, , ,18993,307.720260436614,17175,-0.10351966873706,376,52,37,0,9.83531214094217,3309,3450,-141,5147,5554,-407,3029,3510,-481,88,97,-9,149,146,3
68,2002860116,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860116?gameHash=b2247ea535b6dc2f&tab=overview,WC,2018-W,43374.3273726852,PI,1,8.19,9,Red,ADC,Fix,Kaos Latin Gamers,Kai'Sa,Rakan,Poppy,Aatrox,Tristana,Ornn,29.75,0,1,2,0,3,13,0,0,0,0,0,0,0,5.15176666666667,0.0336134453781513,0.13445378151260498,0.5378151260504199,0,11.475116666666699,1,2,0,0,0,0,0,0,0,0,0.0,,0,14.945516666666698,0,0,0,10,0.0,28.131883333333302,0,1,9568,321.613445378151,0.252487135506003,0.249591759829167,9,0.30252100840336105,0.109756097560976,11,0.369747899159664,2,3, , ,9878,200.36974789916002,9425,-0.362649294245385,256,0,0,0,8.605042016806719,3425,3793,-368,5032,5931,-899,3162,3492,-330,78,91,-13,123,146,-23
75,2002860144,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860144?gameHash=a66dbdd7c8604c14&tab=overview,WC,2018-W,43375.1112037037,PI,2,8.19,4,Blue,ADC,iBOY,Edward Gaming,Kai'Sa,Ryze,Urgot,Alistar,Braum,Cho'gath,25.483333333333302,1,9,1,2,20,2,3,0,0,0,0,0,0,2.9219833333333303,0.353172007848267,0.039241334205363,0.863309352517986,0,11.478433333333301,2,0,0,0,0,0,0,0,0,0,1.0,,1,13.550966666666698,1,1,9,0,1.0,22.7520333333333,1,0,15422,605.179856115108,0.315346079133013,0.273459971107613,12,0.47089601046435603,0.164383561643836,13,0.5101373446697189,5,5, , ,13541,398.15199476782203,11725,0.292837936934735,217,25,13,12,9.49640287769784,4244,3350,894,7264,5637,1627,3508,3403,105,92,93,-1,138,137,1
104,2002860160,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860160?gameHash=aa70d40d39d8148b&tab=overview,WC,2018-W,43375.1921990741,PI,2,8.19,9,Red,ADC,Renyu,Infinity Esports,Kai'Sa,Akali,Urgot,LeBlanc,Cassiopeia,Malzahar,34.25,0,1,1,1,4,9,0,0,0,0,0,0,0,3.43468333333333,0.0291970802919708,0.11678832116788301,0.37956204379562,0,9.09635,2,2,0,0,0,0,0,0,0,0,1.0,,0,16.9004,0,1,3,9,0.0,24.885733333333302,0,2,13580,396.496350364964,0.320313237097839,0.260319042871386,14,0.408759124087591,0.110236220472441,11,0.32116788321167894,4,4, , ,12823,243.947445255474,12450,-0.0846153846153846,326,22,21,0,10.1605839416058,3481,3324,157,5456,5277,179,3494,3508,-14,99,87,12,159,147,12
111,2002860167,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860167?gameHash=86131840524d9259&tab=overview,WC,2018-W,43375.2330208333,PI,2,8.19,4,Blue,ADC,Niksar,Ascension Gaming,Kai'Sa,Aatrox,Akali,Skarner,Zoe,Varus,29.533333333333303,0,0,2,1,4,9,0,0,0,0,0,0,0,6.5919,0.0,0.0338600451467269,0.440180586907449,1,12.808416666666698,2,1,1,0,0,0,0,1,0,0,,,1,15.0974,1,0,1,8,0.0,27.893366666666697,0,1,6834,231.39954853273102,0.159781160131865,0.19214001257598,13,0.440180586907449,0.1625,4,0.13544018058690702,4,4, , ,9024,173.821218961625,8700,-0.348754448398576,237,6,2,0,8.227990970654629,3028,3321,-293,4561,5737,-1176,2904,2867,37,70,88,-18,122,155,-33
128,2002860177,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860177?gameHash=d744d596505824d1&tab=overview,WC,2018-W,43375.269456018505,PI,2,8.19,9,Red,ADC,iBOY,Edward Gaming,Kai'Sa,Azir,Urgot,Aatrox,Nocturne,Olaf,33.0833333333333,1,5,2,1,11,7,1,1,0,0,0,0,0,11.01695,0.15113350125944597,0.0604534005037783,0.544080604534005,0,13.280366666666698,2,1,0,0,0,0,0,0,0,0,1.0,,1,12.448483333333302,1,1,10,3,1.0,22.704783333333303,2,0,13092,395.727959697733,0.312809117625977,0.253219553495834,12,0.36272040302267,0.1,17,0.513853904282116,3,3, , ,15690,343.52644836272003,13625,0.0373831775700935,319,50,35,11,11.1536523929471,3438,3470,-32,5390,5710,-320,3300,3404,-104,97,96,1,157,162,-5
140,2002860183,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860183?gameHash=6cea35434383c75d&tab=overview,WC,2018-W,43375.310138888904,PI,2,8.19,9,Red,ADC,Hjarnan,G2 Esports,Kai'Sa,LeBlanc,Xayah,Irelia,Olaf,Jax,26.783333333333303,1,5,1,3,13,7,2,0,0,0,0,0,0,8.74756666666667,0.18668326073428698,0.07467330429371499,0.74673304293715,0,9.191,1,2,1,0,0,1,0,0,0,0,0.0,,0,11.15235,0,1,10,2,1.0,22.423766666666697,1,0,9997,373.254511512134,0.23406148299033,0.273739274592827,7,0.261356565028002,0.0795454545454545,4,0.14934660858742999,1,3, , ,13329,364.97025513379,9475,0.032171581769437,248,24,4,8,10.155569383945199,3430,3440,-10,5976,5263,713,3656,2996,660,93,79,14,159,118,41
188,2002860215,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860215?gameHash=025021dc6eefd5b8&tab=overview,WC,2018-W,43376.2339351852,PI,3,8.19,9,Red,ADC,Sneaky,Cloud9,Kai'Sa,Vel'koz,Shen,Akali,Tahm Kench,Skarner,34.55,1,7,1,7,18,8,1,0,0,0,0,0,0,5.07123333333333,0.20260492040521,0.0578871201157742,0.752532561505065,0,8.18136666666667,3,1,1,0,0,1,0,0,0,0,0.0,,0,13.376116666666698,0,0,8,4,1.0,28.2167833333333,1,0,26510,767.293777134588,0.407188387988634,0.283893561946596,14,0.40520984081042,0.133333333333333,13,0.37626628075253293,5,6, , ,16810,356.164399421129,13850,-0.0578439964943032,304,50,30,12,10.246020260492001,3500,3216,284,5474,5908,-434,3114,3177,-63,81,85,-4,130,133,-3
200,2002860220,https://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH2/2002860220?gameHash=9e052195f86da240&tab=overview,WC,2018-W,43376.2730787037,PI,3,8.19,9,Red,ADC,Stitch,G-Rex,Kai'Sa,Urgot,Akali,Varus,Irelia,Syndra,31.05,1,16,4,6,28,16,3,0,0,0,0,0,0,3.99126666666667,0.5152979066022539,0.0966183574879227,1.4170692431562,0,5.84178333333333,3,1,1,0,1,0,0,0,0,0,0.0,,0,10.904033333333302,0,0,8,6,0.0,22.571633333333303,0,1,38180,1229.62962962963,0.437457749464349,0.356971013618168,12,0.38647342995169104,0.126315789473684,9,0.289855072463768,6,6, , ,18273,457.226409017713,17250,0.3958333333333329,290,32,16,4,10.3703703703704,3826,3096,730,7167,4849,2318,3053,2655,398,83,62,21,130,107,23
